0-60 (s),1/4 Mile ET (s),Trap Speed (mph),Top Speed (mph),Lateral G @ 120 mph,100-0 Braking (ft),Drive Type Encoded,Weight (lb),60-130 (s),Lap Time (s),Predicted Lap Time (s),Prediction Error,Absolute Error,Car
2.4,9.6,141.0,180.0,,,0.0,1756.0,7.0,92.687,93.978424,1.2914240722656274,1.2914240722656274,2021 Radical SR10
3.3,11.0,132.0,187.0,,,0.0,3336.0,7.4,96.681,95.39702,-1.2839815673828099,1.2839815673828099,2008 Saleen S5S Raptor
2.1,10.6,137.0,219.0,1.32,,2.0,3470.0,6.4,93.733,92.45003,-1.2829725341796916,1.2829725341796916,2020 Nissan Vision GT
3.1,11.1,131.0,203.0,1.23,,0.0,3755.0,7.3,96.387,95.10834,-1.2786625976562505,1.2786625976562505,2022 Maserati MC20
3.6,10.8,160.0,231.0,2.14,190.0,0.0,2170.0,5.1,78.797,80.06992,1.2729234008789092,1.2729234008789092,1998 Toyota GT-One
6.4,14.3,99.0,127.0,0.92,327.3,0.0,3792.0,17.5,109.57300000000001,110.840675,1.2676753540038987,1.2676753540038987,1969 Dodge Charger R/T 440
6.0,14.5,97.0,163.0,1.06,287.5,0.0,3296.0,18.2,105.572,106.807846,1.2358460693359348,1.2358460693359348,1980 BMW M1
3.0,10.8,134.0,206.0,1.39,245.2,0.0,3199.0,7.2,90.145,91.378136,1.2331356811523477,1.2331356811523477,2015 Ferrari 458 Speciale
,,,213.0,1.32,261.9,0.0,3648.0,5.9,91.218,92.446594,1.2285942382812465,1.2285942382812465,2023 Ferrari 296 GTB
2.2,9.8,150.0,219.0,1.55,,2.0,3031.0,4.8,84.969,86.19213,1.2231310424804747,1.2231310424804747,2014 Aston Martin DP-100 Vision GT
6.0,14.5,98.0,153.0,,,1.0,3510.0,23.6,111.344,110.12798,-1.2160169067382753,1.2160169067382753,2009 Mitsubishi Eclipse GT
3.0,11.0,134.0,235.0,1.34,252.5,0.0,3724.0,6.7,92.851,91.641945,-1.2090551147460928,1.2090551147460928,2017 Ferrari F12 TDF
3.9,12.1,120.0,193.0,1.16,261.2,0.0,3862.0,10.4,99.32300000000001,98.121895,-1.2011051635742263,1.2011051635742263,2017 Alfa Romeo Giulia Quadrifoglio
2.9,10.7,129.0,206.0,1.21,262.6,2.0,3684.0,8.2,92.971,94.16745,1.1964499511718714,1.1964499511718714,2017 Audi R8 V10 Plus
3.3,11.1,129.0,214.0,1.19,275.0,2.0,4233.0,8.4,97.025,95.83648,-1.188520812988287,1.188520812988287,2018 Ferrari GTC4Lusso V12
4.6,13.0,109.0,164.0,1.05,343.0,0.0,3971.0,14.3,104.116,105.301735,1.1857349243164066,1.1857349243164066,2014 Chevrolet SS
2.7,10.7,134.0,218.0,1.32,262.8,2.0,4011.0,7.1,91.575,92.760124,1.185124206542966,1.185124206542966,2017 Lamborghini Aventador SV Roadster
2.7,10.1,141.0,253.0,1.3,247.4,2.0,4387.0,5.9,89.364,90.51701,1.1530135498046832,1.1530135498046832,2011 Bugatti Veyron Grand Sport
3.6,11.8,124.0,204.0,1.25,258.6,0.0,3583.0,9.2,94.98400000000001,96.13067,1.1466686401367099,1.1466686401367099,2012 Lexus LFA
8.0,16.0,86.0,137.0,1.04,295.3,0.0,2800.0,27.4,107.428,108.54036,1.1123594970703152,1.1123594970703152,"1997 Nissan 240SX Silvia S14 ""Kouki"""
4.9,12.3,117.0,180.0,1.21,275.0,0.0,3856.0,11.3,97.782,98.8902,1.1081977539062535,1.1081977539062535,2015 Chevrolet Camaro Z/28
3.6,11.6,126.0,208.0,1.14,,0.0,3860.0,8.7,98.50999999999999,97.43363,-1.0763681030273347,1.0763681030273347,2005 Mercedes-Benz SLR McLaren
,,,180.0,1.31,248.4,0.0,2685.0,8.8,94.945,93.87314,-1.0718615722656182,1.0718615722656182,2024 Saleen S1
5.3,13.8,104.0,170.0,0.98,330.6,0.0,4001.0,17.8,110.47999999999999,109.41091,-1.069088439941396,1.069088439941396,1978 Aston Martin V8 Vantage
