0-60 (s),1/4 Mile ET (s),Trap Speed (mph),Top Speed (mph),Lateral G @ 120 mph,100-0 Braking (ft),Drive Type Encoded,Weight (lb),60-130 (s),Lap Time (s),Predicted Lap Time (s),Prediction Error,Absolute Error,Car
7.8,16.0,90.0,129.0,0.94,313.1,0.0,2372.0,24.5,114.033,114.089,0.05599688720703,0.05599688720703,1974 BMW 2002 Turbo
4.3,12.4,114.0,182.0,1.03,295.0,0.0,3494.0,11.2,101.598,101.54802,-0.04998059082031148,0.04998059082031148,2008 Alfa Romeo 8C Competizione
2.8,10.1,152.0,220.0,2.51,176.3,0.0,1720.0,3.8,75.257,75.30688,0.04987713623046375,0.04987713623046375,1992 Peugeot 905 Evo 1 Bis
2.6,9.6,168.0,274.0,1.57,247.7,0.0,2222.0,3.6,85.771,85.81665,0.045650390624999204,0.045650390624999204,2021 Ultima RS
3.7,11.0,131.0,201.0,1.43,243.1,0.0,3406.0,8.1,92.039,92.08459,0.04558709716796727,0.04558709716796727,1998 Mercedes-Benz CLK-GTR AMG
2.9,9.9,146.0,204.0,1.88,205.2,0.0,2365.0,4.9,81.547,81.59228,0.045277526855471706,0.045277526855471706,2021 Brabham BT62
4.3,12.7,111.0,184.0,0.98,285.0,2.0,4040.0,12.6,102.408,102.36603,-0.04197216796875125,0.04197216796875125,2013 Audi RS5
4.4,12.8,114.0,186.0,,,0.0,2811.0,11.2,99.696,99.65434,-0.041657348632810454,0.041657348632810454,2006 Spyker C8 Spyder
2.9,10.5,139.0,230.0,1.27,249.5,0.0,3384.0,6.1,91.495,91.454414,-0.0405856323242233,0.0405856323242233,2020 Ferrari F8 Tributo
2.6,9.8,,211.0,2.25,180.9,0.0,2465.0,5.3,79.583,79.62329,0.04029101562500159,0.04029101562500159,2023 BMW M Hybrid V8
9.4,17.3,78.0,129.0,0.89,378.4,0.0,2830.0,34.9,119.99600000000001,120.0339,0.03789739990233443,0.03789739990233443,1981 DeLorean DMC-12
3.0,10.8,129.0,197.0,1.35,233.4,0.0,3684.0,7.7,92.17699999999999,92.1445,-0.0324992675781175,0.0324992675781175,2023 Chevrolet Corvette C8 Z06
7.7,16.0,90.0,125.0,0.91,339.7,0.0,2425.0,43.0,116.36699999999999,116.39743,0.030430419921884777,0.030430419921884777,"1971 Nissan Skyline 2000GT-R C10 ""Hakosuka"""
6.8,15.4,91.0,143.0,1.01,297.5,0.0,2857.0,27.1,110.589,110.60866,0.019657836914063864,0.019657836914063864,1988 BMW M3 E30
6.6,14.6,98.0,123.0,0.73,506.6,0.0,3627.0,19.6,112.176,112.19334,0.017336486816404317,0.017336486816404317,1969 Oldsmobile 37350
,,,,0.92,355.3,,,20.4,106.74000000000001,106.72689,-0.013109436035165345,0.013109436035165345,2012 Volkswagen Golf R MK6 (3-door)
3.3,11.1,138.0,243.0,1.28,254.1,0.0,2579.0,6.6,91.753,91.742546,-0.010453918457031364,0.010453918457031364,1994 McLaren F1
2.7,9.9,147.0,211.0,1.86,213.4,0.0,3008.0,5.0,82.157,82.163864,0.006864135742191024,0.006864135742191024,2020 McLaren Senna GTR
3.3,11.3,129.0,199.0,1.29,249.8,0.0,3681.0,8.4,94.293,94.29589,0.0028908081054623835,0.0028908081054623835,2018 Mercedes-Benz AMG GT R
