0-60 (s),1/4 Mile ET (s),Trap Speed (mph),60-130 (s),Lateral G @ 120 mph,100-0 Braking (ft),Lap Time (s),Predicted Lap Time (s),Prediction Error,Absolute Error
3.0,10.8,135.0,6.9,1.14,255.0,94.235,92.52326,-1.7117379760742182,1.7117379760742182
3.6,10.8,160.0,5.1,2.14,190.0,78.797,77.09206,-1.7049437255859345,1.7049437255859345
3.8,12.1,118.0,10.4,1.19,280.4,97.14,98.84342,1.7034219360351557,1.7034219360351557
3.6,11.6,126.0,8.7,1.14,,98.50999999999999,96.81065,-1.6993463134765534,1.6993463134765534
4.1,12.4,118.0,10.7,1.11,275.8,100.53399999999999,98.84342,-1.6905780639648356,1.6905780639648356
5.3,13.8,104.0,17.8,0.98,330.6,110.47999999999999,108.80293,-1.6770672607421773,1.6770672607421773
5.0,13.7,106.0,15.5,1.16,269.2,99.638,101.31164,1.6736378784179635,1.6736378784179635
4.4,13.1,109.0,14.1,1.08,273.7,102.654,100.993195,-1.6608054199218714,1.6608054199218714
4.5,12.8,114.0,7.2,1.06,325.0,103.53999999999999,105.18711,1.6471109008789142,1.6471109008789142
4.5,12.2,116.0,11.4,1.13,,100.098,98.46096,-1.6370396118164052,1.6370396118164052
5.3,13.8,103.0,15.8,,,104.193,102.57284,-1.620162170410154,1.620162170410154
3.3,11.3,125.0,10.3,1.06,276.9,99.339,97.719475,-1.6195252075195299,1.6195252075195299
3.3,11.3,128.0,8.3,1.19,261.7,96.602,95.034256,-1.5677440185546914,1.5677440185546914
4.9,13.4,102.0,16.8,1.12,269.4,102.42099999999999,103.974724,1.5537238159179765,1.5537238159179765
2.7,10.7,134.0,7.1,1.32,262.8,91.575,93.12522,1.5502212524414034,1.5502212524414034
3.8,12.1,116.0,10.9,1.16,272.0,100.011,98.47254,-1.5384581909179644,1.5384581909179644
3.8,12.1,126.0,8.5,1.28,251.9,92.402,93.93348,1.5314793090820302,1.5314793090820302
3.3,11.3,129.0,8.4,1.29,249.8,94.293,92.7651,-1.5279014282226626,1.5279014282226626
7.0,15.2,93.0,23.7,1.04,293.8,107.306,108.8286,1.5225980224609401,1.5225980224609401
6.3,14.4,97.0,17.9,0.94,315.1,111.801,110.28334,-1.5176595458984394,1.5176595458984394
6.0,14.6,94.0,33.1,1.08,292.4,107.777,109.23726,1.4602589111328115,1.4602589111328115
4.1,12.4,118.0,10.0,1.24,261.8,95.634,97.09261,1.4586132202148434,1.4586132202148434
3.5,11.6,126.0,7.2,0.99,295.0,100.41499999999999,98.95869,-1.4563131713867108,1.4563131713867108
3.8,12.1,120.0,10.9,1.13,272.1,99.907,98.4581,-1.4489006347656215,1.4489006347656215
4.7,13.1,105.0,17.3,1.14,270.6,99.86500000000001,101.31164,1.4466378784179597,1.4466378784179597
4.5,13.0,110.0,15.2,1.09,280.4,102.437,100.993195,-1.4438054199218726,1.4438054199218726
3.4,11.6,125.0,8.4,1.09,,95.884,97.31099,1.4269893798828122,1.4269893798828122
3.6,11.7,124.0,8.7,1.09,282.6,99.50800000000001,98.08733,-1.420666320800791,1.420666320800791
5.1,13.8,105.0,16.9,1.06,287.3,104.946,103.53807,-1.4079293212890605,1.4079293212890605
4.3,12.7,112.0,12.5,1.13,265.9,99.191,100.59629,1.4052905883789037,1.4052905883789037
2.2,9.8,145.0,5.6,1.44,238.0,87.724,89.109604,1.3856038818359337,1.3856038818359337
4.2,12.0,128.0,9.2,1.36,242.1,94.015,92.63934,-1.3756567382812506,1.3756567382812506
6.7,15.1,94.0,20.9,0.93,344.6,111.426,112.798386,1.3723856201171856,1.3723856201171856
2.6,10.1,139.0,6.3,1.35,242.3,89.369,90.73036,1.3613619384765627,1.3613619384765627
3.1,11.1,131.0,7.3,1.23,,96.387,95.04297,-1.3440312500000005,1.3440312500000005
2.9,10.1,146.0,5.5,1.72,208.3,83.587,82.26586,-1.3211384887695345,1.3211384887695345
2.9,10.7,129.0,8.2,1.21,262.6,92.971,94.26205,1.2910468139648401,1.2910468139648401
3.0,11.0,134.0,6.7,1.34,252.5,92.851,91.56447,-1.2865316162109366,1.2865316162109366
1.9,8.5,170.0,3.5,1.26,249.7,89.18299999999999,87.90283,-1.2801679687499927,1.2801679687499927
2.6,9.6,168.0,3.6,1.57,247.7,85.771,87.036705,1.265705017089843,1.265705017089843
,,,7.5,1.18,268.9,95.97999999999999,97.23259,1.2525897216796977,1.2525897216796977
4.3,12.9,107.0,17.0,1.16,270.1,102.60300000000001,101.35508,-1.2479203491211024,1.2479203491211024
3.0,10.3,143.0,5.8,1.34,242.4,90.39099999999999,89.15168,-1.2393200073242099,1.2393200073242099
3.3,11.2,131.0,7.6,1.22,257.1,94.36,93.12459,-1.235411987304687,1.235411987304687
3.4,11.6,128.0,8.0,,,95.125,96.35066,1.2256622314453125,1.2256622314453125
6.4,14.3,99.0,17.5,0.92,327.3,109.57300000000001,110.77603,1.2030314941406175,1.2030314941406175
4.8,13.3,108.0,15.1,1.04,285.8,104.012,102.82272,-1.1892766113281255,1.1892766113281255
3.5,11.3,127.0,8.3,1.16,,97.524,96.35066,-1.1733377685546884,1.1733377685546884
2.8,10.4,141.0,6.1,1.41,237.3,90.494,89.32576,-1.1682401123046873,1.1682401123046873
6.9,15.1,92.0,25.8,1.03,297.5,111.634,110.46686,-1.1671420898437503,1.1671420898437503
3.3,10.3,145.0,5.6,1.31,249.3,90.727,89.57068,-1.1563212890625039,1.1563212890625039
